record_type,site,look,component,metric,quantile,standpoint,stratum,estimate,sealed_16_estimate,change_from_sealed_16_db,bootstrap_95_low,bootstrap_95_high
route_quantile,korenmarkt,48,first_diffuse,total_transfer_m_inv2,q10,,,5.372966102791936e-06,,0.011707005572965059,5.347268131286518e-06,5.396913606671543e-06
route_quantile,korenmarkt,48,first_diffuse,total_transfer_m_inv2,q50,,,1.2258856312956456e-05,,0.01916232673597736,1.2212297903712867e-05,1.2304593959898287e-05
route_quantile,korenmarkt,48,first_diffuse,total_transfer_m_inv2,q90,,,2.2505031189512103e-05,,-0.007396671097819543,2.2418928677349483e-05,2.258203298908143e-05
route_quantile,korenmarkt,48,first_diffuse,wbsar_m2_per_kg,q10,,,0.000290047645460787,,0.04060387341226489,0.00028814131722433063,0.0002919928095049099
route_quantile,korenmarkt,48,first_diffuse,wbsar_m2_per_kg,q50,,,0.0006744853616626736,,0.020791620310833103,0.0006717843580381672,0.0006771378340640642
route_quantile,korenmarkt,48,first_diffuse,wbsar_m2_per_kg,q90,,,0.0012575590447003763,,-0.009930520367194775,0.0012526472778432065,0.0012621649480038634
route_quantile,korenmarkt,48,total,total_transfer_m_inv2,q10,,,0.001071773303128562,,6.341904357553004e-05,0.0010717477325982675,0.0010718008993010932
route_quantile,korenmarkt,48,total,total_transfer_m_inv2,q50,,,0.0012745194053780588,,0.0001839090812525933,0.0012744728469688152,0.0012745651430250006
route_quantile,korenmarkt,48,total,total_transfer_m_inv2,q90,,,0.0014653259954267887,,-0.00011369618012494612,0.001465239892914626,0.0014654046523802941
route_quantile,korenmarkt,48,total,wbsar_m2_per_kg,q10,,,0.05783354338530846,,6.0041957606140986e-05,0.05783202670713025,0.05783517557807251
route_quantile,korenmarkt,48,total,wbsar_m2_per_kg,q50,,,0.06204840670100906,,0.0002254770466891873,0.06204570569738453,0.06205105917341045
route_quantile,korenmarkt,48,total,wbsar_m2_per_kg,q90,,,0.06866886202403855,,-0.00018206566785786092,0.06866395025718137,0.06867346792734205
pointwise,korenmarkt,48,total,total_transfer_m_inv2,,0,nonshadowed,0.0010280650580973972,0.0010280142026844396,0.00021483826667754565,,
pointwise,korenmarkt,48,total,total_transfer_m_inv2,,1,nonshadowed,0.0010766297747986913,0.001076618035678444,4.73539099497623e-05,,
pointwise,korenmarkt,48,total,total_transfer_m_inv2,,2,nonshadowed,0.0011205729690524587,0.001120574983191499,-7.80608411055463e-06,,
pointwise,korenmarkt,48,total,total_transfer_m_inv2,,3,nonshadowed,0.001211578131478631,0.0012115604901478181,6.323643688541473e-05,,
pointwise,korenmarkt,48,total,total_transfer_m_inv2,,4,nonshadowed,0.0012467343442718653,0.0012467120179151436,7.777358817514886e-05,,
pointwise,korenmarkt,48,total,total_transfer_m_inv2,,5,nonshadowed,0.001302304466484252,0.0013022188519207986,0.00028551813860970646,,
pointwise,korenmarkt,48,total,total_transfer_m_inv2,,6,nonshadowed,0.0013260540508954817,0.001326081534535518,-9.001042990711413e-05,,
pointwise,korenmarkt,48,total,total_transfer_m_inv2,,7,nonshadowed,0.0013853445442458057,0.001385293347263188,0.00016050142901482466,,
pointwise,korenmarkt,48,total,total_transfer_m_inv2,,8,nonshadowed,0.0014646204283710054,0.0014646644344962585,-0.00013048657446121698,,
pointwise,korenmarkt,48,total,total_transfer_m_inv2,,9,nonshadowed,0.0014716760989288379,0.0014716636640317447,3.669577843926546e-05,,
pointwise,korenmarkt,48,total,wbsar_m2_per_kg,,0,nonshadowed,0.055264854883260335,0.05526184239623064,0.00023674035800076582,,
pointwise,korenmarkt,48,total,wbsar_m2_per_kg,,1,nonshadowed,0.05811895321886936,0.05811839954727527,4.1373364479366005e-05,,
pointwise,korenmarkt,48,total,wbsar_m2_per_kg,,2,nonshadowed,0.05917789648810423,0.059178017566153394,-8.885661363145986e-06,,
pointwise,korenmarkt,48,total,wbsar_m2_per_kg,,3,nonshadowed,0.06256982760112788,0.06256895408717962,6.063065062330088e-05,,
pointwise,korenmarkt,48,total,wbsar_m2_per_kg,,4,nonshadowed,0.06201480955230961,0.062013393250124144,9.91858641798072e-05,,
pointwise,korenmarkt,48,total,wbsar_m2_per_kg,,5,nonshadowed,0.0620820038497085,0.062076977459709415,0.00035163520490705437,,
pointwise,korenmarkt,48,total,wbsar_m2_per_kg,,6,nonshadowed,0.061596127263125244,0.06159763773150887,-0.00010649696178392781,,
pointwise,korenmarkt,48,total,wbsar_m2_per_kg,,7,nonshadowed,0.06505389867267428,0.06505075127901826,0.0002101224972301894,,
pointwise,korenmarkt,48,total,wbsar_m2_per_kg,,8,nonshadowed,0.06863617573161217,0.06863950586957838,-0.00021070892180145715,,
pointwise,korenmarkt,48,total,wbsar_m2_per_kg,,9,nonshadowed,0.06896303865587602,0.0689618554941825,7.451020323366425e-05,,
route_quantile,korenmarkt,64,direct,total_transfer_m_inv2,q10,,,0.000834735072447328,,4.821637332766433e-15,0.000834735072447328,0.000834735072447328
route_quantile,korenmarkt,64,direct,total_transfer_m_inv2,q50,,,0.0010059615350724652,,0.0,0.0010059615350724652,0.0010059615350724652
route_quantile,korenmarkt,64,direct,total_transfer_m_inv2,q90,,,0.001077825294906042,,-9.643274665532871e-16,0.001077825294906042,0.001077825294906042
route_quantile,korenmarkt,64,direct,wbsar_m2_per_kg,q10,,,0.045025051173304124,,-5.303801066043082e-15,0.045025051173304124,0.045025051173304124
route_quantile,korenmarkt,64,direct,wbsar_m2_per_kg,q50,,,0.04747617670514362,,-5.303801066043082e-15,0.04747617670514362,0.04747617670514362
route_quantile,korenmarkt,64,direct,wbsar_m2_per_kg,q90,,,0.050275848819159,,-5.785964799319727e-15,0.050275848819159,0.050275848819159
route_quantile,korenmarkt,64,all_specular,total_transfer_m_inv2,q10,,,0.0002262763733996229,,0.0,0.0002262763733996229,0.0002262763733996229
route_quantile,korenmarkt,64,all_specular,total_transfer_m_inv2,q50,,,0.00027996817796781335,,-1.446491199829931e-15,0.00027996817796781335,0.00027996817796781335
route_quantile,korenmarkt,64,all_specular,total_transfer_m_inv2,q90,,,0.00035685519337914375,,-4.821637332766436e-16,0.00035685519337914375,0.00035685519337914375
route_quantile,korenmarkt,64,all_specular,wbsar_m2_per_kg,q10,,,0.011984912612678866,,0.0,0.011984912612678866,0.011984912612678866
route_quantile,korenmarkt,64,all_specular,wbsar_m2_per_kg,q50,,,0.013538655357191735,,-3.3751461329365063e-15,0.013538655357191735,0.013538655357191735
